央视频道,#genre#
CCTV1,
CCTV2,
CCTV3,
CCTV4,
CCTV5,
CCTV5+,
CCTV6,
CCTV7,
CCTV8,
CCTV9,
CCTV10,
CCTV11,
CCTV12,
CCTV13,
CCTV14,
CCTV15,
CCTV16,
CCTV17,
CCCTV18,

卫视频道,#genre#
湖南卫视,
浙江卫视,
东方卫视,
北京卫视,
江苏卫视,
安徽卫视,
重庆卫视,
四川卫视,
东南卫视,
深圳卫视,
广东卫视,
广西卫视,
厦门卫视,
南方卫视,
甘肃卫视,
贵州卫视,
河北卫视,
河南卫视,
黑龙江卫视,
湖北卫视,
江西卫视,
吉林卫视,
内蒙古卫视,
辽宁卫视,
宁夏卫视,
青海卫视,
山东卫视,
天津卫视,
海南卫视,
新疆卫视,
云南卫视,
西藏卫视,
海峡卫视,
兵团卫视,
黄河卫视,
安多卫视,
康巴卫视,
农林卫视,
三沙卫视,
延边卫视,

港·澳·台,#genre#
凤凰中文,
凤凰资讯,
凤凰香港,
凤凰卫视,
香港卫视,
TVBS欢乐,
TVBS亚洲,
TVBS新闻,
J2,
Viutv,
翡翠台,
明珠台,
三立台湾,
无线新闻,
三立新闻,
纬来体育,
纬来育乐,
东森综合,
东森超视,
东森电影,
Now剧集,
Now华剧,
靖天资讯,
星卫娱乐,
卫视卡式,

电视剧,#genre#
83射雕英雄传,
95神雕侠侣粤,
96笑傲江湖版,
87经典红楼梦,
新白娘子传奇,
仙剑奇侠传剧,
花千骨电视剧,
少年歌行剧集,
鹊刀门传奇剧,
甄嬛传电视剧,
卿卿日常轮播,
知否知否轮播,
与凤行电视剧,
开端电视轮播,
我的体育老师,
后厨电视轮播,
如果岁月轮播,
流金岁月轮播,
向风而行轮播,
欢乐颂电视剧,
好先生电视剧,
我的前半生剧,
伪装者电视剧,
警察荣誉轮播,
雪豹电视轮播,
火蓝刀锋轮播,
二炮手电视剧,
炮神电视轮播,
风筝电视轮播,
三部僵约轮播,

电影频道,#genre#
周星驰,http://120.77.28.4:8648/huya.php?id=11342412
林正英,http://120.77.28.4:8648/huya.php?id=11342421
周润发,http://120.77.28.4:8648/huya.php?id=11342387
成龙,http://120.77.28.4:8648/huya.php?id=11342386
李连杰,http://120.77.28.4:8648/huya.php?id=11342390
洪金宝,http://120.77.28.4:8648/huya.php?id=11279251
赵丽颖,http://120.77.28.4:8648/huya.php?id=29982668
梁家辉,http://120.77.28.4:8648/huya.php?id=11342429
许冠英,http://120.77.28.4:8648/huya.php?id=11601972
刘德华,http://120.77.28.4:8648/huya.php?id=11342424
斯坦森,http://120.77.28.4:8648/huya.php?id=21059588
小鬼头,http://120.77.28.4:8648/huya.php?id=880261
王晶,http://120.77.28.4:8648/huya.php?id=11602058
沈腾,http://120.77.28.4:8648/huya.php?id=11601968
黄渤,http://120.77.28.4:8648/huya.php?id=11352876
强森,http://120.77.28.4:8648/huya.php?id=21059581
漫威,http://120.77.28.4:8648/huya.php?id=11602034
宇宙,http://120.77.28.4:8648/huya.php?id=11342428
怪兽,http://120.77.28.4:8648/huya.php?id=21059577
武侠,http://120.77.28.4:8648/huya.php?id=11342427
警匪,http://120.77.28.4:8648/huya.php?id=11352886
古惑仔,http://120.77.28.4:8648/huya.php?id=11336719
古天乐,http://120.77.28.4:8648/huya.php?id=29982675
枪战,http://120.77.28.4:8648/huya.php?id=11352962
国产僵尸,http://120.77.28.4:8648/huya.php?id=11279247
电影推荐,http://120.77.28.4:8648/huya.php?id=11602041
短剧推荐,http://120.77.28.4:8648/huya.php?id=21059594
热血电影,http://120.77.28.4:8648/huya.php?id=11352934
盗墓电影,http://120.77.28.4:8648/huya.php?id=21059552
贺岁电影,http://120.77.28.4:8648/huya.php?id=11601971
玄幻电影,http://120.77.28.4:8648/huya.php?id=11342414
谍战电影,http://120.77.28.4:8648/huya.php?id=21059585
喜剧电影,http://120.77.28.4:8648/huya.php?id=11352877
搞笑恐怖,http://120.77.28.4:8648/huya.php?id=11601960
经典港片,http://120.77.28.4:8648/huya.php?id=11602043
国产电影,http://120.77.28.4:8648/huya.php?id=11352973
周星驰粤语,http://120.77.28.4:8648/huya.php?id=11336587
许氏三杰,http://120.77.28.4:8648/huya.php?id=11602033
五福星,http://120.77.28.4:8648/huya.php?id=11282233
邱淑贞,http://120.77.28.4:8648/huya.php?id=11352949
徐克,http://120.77.28.4:8648/huya.php?id=11352909
开心鬼系列,http://120.77.28.4:8648/huya.php?id=11342423
漫威合集,http://120.77.28.4:8648/huya.php?id=26355802
邱淑贞,http://120.77.28.4:8648/huya.php?id=11336571
古墓系列,http://120.77.28.4:8648/huya.php?id=11352913
高分动作,http://120.77.28.4:8648/huya.php?id=11352884
赌神系列,http://120.77.28.4:8648/huya.php?id=11342399

少儿频道,#genre#
东森幼幼,
iFun动漫,
momo亲子,
黑莓动画,
嘉佳少儿,
卡酷少儿,
动漫秀场,
哈哈炫动,
金鹰卡通,
优漫卡通,
靖洋卡通,

影视频道,#genre#
CHC动作电影,
CHC高清电影,
CHC家庭影院,
NewTV惊悚悬疑,
NewTV动作电影,
黑莓电影,
纬来电影,
靖天映画,
靖天戏剧,
星卫娱乐,
艾尔达娱乐,
